Matrix Size, Iterations, Threads, Average Runtime
100,10,11,0.000697494
100,10,11,0.000716424
100,10,11,0.000661445
100,10,11,0.000694966
100,10,11,0.000669146
100,10,11,0.000665641
100,10,11,0.000683188
100,10,11,0.000691724
100,10,11,0.000695109
100,10,11,0.000643325
100,10,12,0.000649118
100,10,12,0.00070312
100,10,12,0.000639081
100,10,12,0.000622082
100,10,12,0.000648046
100,10,12,0.00063014
100,10,12,0.000648475
100,10,12,0.000598025
100,10,12,0.000614834
100,10,12,0.000669813
100,10,13,0.000559473
100,10,13,0.000591826
100,10,13,0.000584555
100,10,13,0.000575376
100,10,13,0.000591636
100,10,13,0.000617528
100,10,13,0.000642729
100,10,13,0.00058291
100,10,13,0.000532985
100,10,13,0.00058701
100,10,14,0.00061419
100,10,14,0.00057621
100,10,14,0.000572729
100,10,14,0.000551319
100,10,14,0.00059762
100,10,14,0.000558805
100,10,14,0.00057981
100,10,14,0.000570393
100,10,14,0.000607944
100,10,14,0.000640011
100,10,15,0.000553989
100,10,15,0.000556302
100,10,15,0.000570273
100,10,15,0.000591588
100,10,15,0.000532722
100,10,15,0.000600266
100,10,15,0.000533676
100,10,15,0.000581479
100,10,15,0.000552988
100,10,15,0.000652528
100,10,16,0.000604796
100,10,16,0.000560427
100,10,16,0.000559068
100,10,16,0.000572705
100,10,16,0.00058949
100,10,16,0.000591016
100,10,16,0.000554705
100,10,16,0.000512171
100,10,16,0.00052743
100,10,16,0.000613284
1000,10,1,5.66221
1000,10,1,6.13583
1000,10,1,5.52015
1000,10,1,5.79592
1000,10,1,5.67104
1000,10,1,5.93602
1000,10,1,5.72381
1000,10,1,5.16003
1000,10,1,5.13397
1000,10,1,5.06806
1000,10,1,5.17246
1000,10,1,5.09652
1000,10,1,5.17309
1000,10,1,5.20691
1000,10,1,5.81139
1000,10,1,5.27786
1000,10,1,5.11172
1000,10,1,5.31736
1000,10,1,5.48907
1000,10,1,5.37414
1000,10,2,2.76639
1000,10,2,2.68924
1000,10,2,2.68504
1000,10,2,2.66127
1000,10,2,2.70733
1000,10,2,2.68611
1000,10,2,2.7225
1000,10,2,2.6512
1000,10,2,2.69537
1000,10,2,2.59022
1000,10,3,1.80706
1000,10,3,1.73867
1000,10,3,1.79418
1000,10,3,1.81034
1000,10,3,1.77897
1000,10,3,1.82962
1000,10,3,1.79212
1000,10,3,1.75602
1000,10,3,1.79372
1000,10,3,1.79971
1000,10,4,1.33034
1000,10,4,1.4681
1000,10,4,1.39009
1000,10,4,1.34938
1000,10,4,1.39204
1000,10,4,1.32797
1000,10,4,1.29605
1000,10,4,1.34756
1000,10,4,1.35744
1000,10,4,1.33906
1000,10,5,1.18406
1000,10,5,1.39215
1000,10,5,1.36111
1000,10,5,1.24452
1000,10,5,1.25092
1000,10,5,1.25056
1000,10,5,1.29858
1000,10,5,1.27232
1000,10,5,1.35269
1000,10,5,1.24796
1000,10,6,1.07868
1000,10,6,1.1022
1000,10,6,1.19552
1000,10,6,1.20998
1000,10,6,1.22017
1000,10,6,1.15235
1000,10,6,1.21243
1000,10,6,1.16262
1000,10,6,1.20392
1000,10,6,1.11378
1000,10,7,1.12336
1000,10,7,1.02976
1000,10,7,1.09166
1000,10,7,1.12782
1000,10,7,1.13055
1000,10,7,1.09069
1000,10,7,1.07199
1000,10,7,1.15535
1000,10,7,1.02953
1000,10,7,1.09138
1000,10,8,1.09273
1000,10,8,1.0566
1000,10,8,1.07475
1000,10,8,1.07319
1000,10,8,1.08885
1000,10,8,0.996381
1000,10,8,1.01767
1000,10,8,1.00862
1000,10,8,0.991996
1000,10,8,1.04257
1000,10,9,1.01686
1000,10,9,1.05653
1000,10,9,1.0374
1000,10,9,1.01758
1000,10,9,1.01359
1000,10,9,1.05571
1000,10,9,1.05464
1000,10,9,1.0171
1000,10,9,1.01081
1000,10,9,1.04821
1000,10,10,0.94181
1000,10,10,0.966381
1000,10,10,0.982553
1000,10,10,0.909679
1000,10,10,0.996873
1000,10,10,0.920716
1000,10,10,0.933111
1000,10,10,0.972266
1000,10,10,0.995354
1000,10,10,0.955087
1000,10,11,0.904423
1000,10,11,0.899205
1000,10,11,0.906953
1000,10,11,0.904419
1000,10,11,0.871846
1000,10,11,0.930434
1000,10,11,0.944819
1000,10,11,0.942205
1000,10,11,0.924496
1000,10,11,0.975378
1000,10,12,0.896438
1000,10,12,0.929922
1000,10,12,0.911917
1000,10,12,0.916101
1000,10,12,1.02494
1000,10,12,1.0252
1000,10,12,0.972028
1000,10,12,0.958242
1000,10,12,0.90522
1000,10,12,0.897086
1000,10,13,0.885159
1000,10,13,0.899794
1000,10,13,0.891109
1000,10,13,0.893698
1000,10,13,0.91252
1000,10,13,0.879787
1000,10,13,0.900208
1000,10,13,0.893718
1000,10,13,0.892342
1000,10,13,0.922469
1000,10,14,0.862918
1000,10,14,0.844852
1000,10,14,0.849081
1000,10,14,0.852484
1000,10,14,0.83194
1000,10,14,0.833397
1000,10,14,0.877768
1000,10,14,0.843317
1000,10,14,0.845402
1000,10,14,0.833533
1000,10,15,0.903082
1000,10,15,0.895625
1000,10,15,0.891361
1000,10,15,0.897386
1000,10,15,0.880022
1000,10,15,0.903792
1000,10,15,0.840998
1000,10,15,0.887365
1000,10,15,0.841396
1000,10,15,0.88324
1000,10,16,0.861579
1000,10,16,0.915228
1000,10,16,0.855961
1000,10,16,0.820932
1000,10,16,0.823847
1000,10,16,0.813111
1000,10,16,0.883252
1000,10,16,0.924067
1000,10,16,0.886359
1000,10,16,0.868192
